"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"England","E92000001","Country","2020-04-13",104,73183
"West Midlands","E12000005","Region","2020-04-13",9,7656
"East of England","E12000006","Region","2020-04-13",0,6089
"North West","E12000002","Region","2020-04-13",4,11136
"East Midlands","E12000004","Region","2020-04-13",31,4331
"South West","E12000009","Region","2020-04-13",14,3578
"London","E12000007","Region","2020-04-13",6,18472
"Yorkshire and The Humber","E12000003","Region","2020-04-13",19,5481
"North East","E12000001","Region","2020-04-13",0,4205
"South East","E12000008","Region","2020-04-13",17,9334
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-13",0,328
"Barnet","E09000003","Upper tier local authority","2020-04-13",0,961
"Barnsley","E08000016","Upper tier local authority","2020-04-13",0,372
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-13",0,131
"Bedford","E06000055","Upper tier local authority","2020-04-13",0,239
"Bexley","E09000004","Upper tier local authority","2020-04-13",0,431
"Birmingham","E08000025","Upper tier local authority","2020-04-13",0,1884
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-13",0,164
"Blackpool","E06000009","Upper tier local authority","2020-04-13",0,162
"Bolton","E08000001","Upper tier local authority","2020-04-13",0,400
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-13",0,238
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-13",0,107
"Bradford","E08000032","Upper tier local authority","2020-04-13",0,467
"Brent","E09000005","Upper tier local authority","2020-04-13",0,1037
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-13",0,218
"Bristol, City of","E06000023","Upper tier local authority","2020-04-13",0,354
"Bromley","E09000006","Upper tier local authority","2020-04-13",0,766
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-13",0,492
"Bury","E08000002","Upper tier local authority","2020-04-13",0,253
"Calderdale","E08000033","Upper tier local authority","2020-04-13",4,155
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-13",0,399
"Camden","E09000007","Upper tier local authority","2020-04-13",0,435
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-13",0,289
